No;Parameter;Nilai + Satuan;Keterangan
1;Total permintaan listrik;305,12 TWh;Data tahun 2023 dari RUPTL PLN
2;Kapasitas pembangkit terpasang;± 81.000 MW;Termasuk semua jenis pembangkit
3;Kapasitas pembangkit termal;± 51.000 MW;Mayoritas PLTU batubara dan PLTG
4;Kontribusi termal ke listrik;± 210,00 TWh;Sekitar 68–70% dari bauran pembangkitan
5;Kontribusi EBT (renewables);± 14–15 %;PLTA, PLTS, PLTB, biomassa, panas bumi
6;Target EBT 2025;23 %;Dalam dokumen RUEN dan Kebijakan Energi Nasional
